Reference, Value, Footprint, Datasheet
"R3","470","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5","470","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4","470","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6","470","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U2","CC56-12EWA","Displays_7-Segment:CA56-12EWA","http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf"
"R1","2k2","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","4700","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","1k","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"A1","Arduino_Nano_v3.x","LibreriaCustomLemos:Arduino_Nano_WithMountingHoles","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"D1","1N4148","Diodes_ThroughHole:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.nxp.com/documents/data_sheet/1N4148_1N4448.pdf"
"U1","LM358","Housings_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"R9","1000","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R12","4700","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R11","3300","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R10","2200","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R8","1000","LibreriaCustumLemos:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW4","SW_Push","Buttons_Switches_ThroughHole:SW_PUSH_6mm_h5mm",""
"SW3","SW_Push","Buttons_Switches_ThroughHole:SW_PUSH_6mm_h5mm",""
"SW2","SW_Push","Buttons_Switches_ThroughHole:SW_PUSH_6mm_h5mm",""
"SW1","SW_Push","Buttons_Switches_ThroughHole:SW_PUSH_6mm_h5mm",""
